<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MSFT;W;240916;000000;430.6;441.85;428.22;435.23;51722494
MSFT;W;240923;000000;434.28;436.46;426.1;428.03;30461662
MSFT;W;240930;000000;428.21;430.42;414.29;416.02;35868804
MSFT;W;241007;000000;415.85;420.38;408.17;416.39;40827502
MSFT;W;241014;000000;417.63;424.04;410.48;418.17;37744286
MSFT;W;241021;000000;416.04;432.52;413.7501;428.32;38894761
MSFT;W;241028;000000;431.63;438.5;406.3;410.01;65930022
MSFT;W;241104;000000;409.99;426.85;405.5713;422.93;45096148
MSFT;W;241111;000000;422.34;429.325;413.64;414.81;50645612
MSFT;W;241118;000000;414.49;419.78;410.2887;417.02;38690306
MSFT;W;241125;000000;418.19;429.0414;414.85;423.46;37489658
MSFT;W;241202;000000;421.57;446.1;421.31;443.52;42551957
MSFT;W;241209;000000;442.61;456.1648;440.5;447.26;38960873
MSFT;W;241216;000000;447.27;455.29;428.63;436.97;48991036
MSFT;W;241223;000000;436.74;440.94;426.35;430.7;24608957
MSFT;W;241230;000000;426.33;427.55;414.85;423.37;27048497
