<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
QCOM;W;230102;000000;111.35;115.98;107.13;115.34;16838864
QCOM;W;230109;000000;116.73;122.38;113.54;120.23;22702844
QCOM;W;230116;000000;119.735;123.99;117.34;122.91;19014414
QCOM;W;230123;000000;126.54;134.89;125.82;133.44;24658978
QCOM;W;230130;000000;131.05;139.94;128.57;135.07;31652784
QCOM;W;230206;000000;132.27;137.38;127.6201;129;16408786
QCOM;W;230213;000000;129.46;133.33;126.96;127.77;12621325
QCOM;W;230220;000000;125.46;127.616;122.92;124.34;11165895
QCOM;W;230227;000000;126.5;126.6;120.855;123.6;17045979
QCOM;W;230306;000000;124.28;125.1747;114.53;115.2;16887300
QCOM;W;230313;000000;113.76;122.87;113.14;120.73;21481965
QCOM;W;230320;000000;120.77;127;119.81;124.77;16803589
QCOM;W;230327;000000;125.74;128.19;120.21;127.6;14311105
QCOM;W;230403;000000;126.99;127.574;121.05;123;12581720
QCOM;W;230410;000000;122.09;125.25;118.76;120.21;13371864
QCOM;W;230417;000000;119.13;120.8;116.45;117.77;14443446
QCOM;W;230424;000000;117.82;117.83;112.15;116.84;16119692
QCOM;W;230501;000000;117.21;117.58;103.5;108.76;33506378
QCOM;W;230508;000000;108.375;108.83;102.61;103.61;24470972
QCOM;W;230515;000000;103.76;107.12;102.89;105.86;21423755
QCOM;W;230522;000000;103.672;111.28;101.47;110.35;27769418
QCOM;W;230529;000000;114.5;117.4;111.6;115.635;27290527
QCOM;W;230605;000000;115.43;120.85;112.24;119.14;23659793
QCOM;W;230612;000000;121.04;125.4;119.77;122.62;21034920
QCOM;W;230619;000000;121.94;122.37;113.03;113.41;16200070
QCOM;W;230626;000000;114.56;119.94;114.3;119.01;17383945
QCOM;W;230703;000000;119.27;120.48;113.62;115.92;11659271
QCOM;W;230710;000000;116.47;123.415;114.89;122.57;19161567
QCOM;W;230717;000000;122.33;127.1;120.225;124.71;24203618
QCOM;W;230724;000000;124.72;129.92;122.34;129.54;18864124
QCOM;W;230731;000000;129.99;132.97;114.89;121.51;44073359
QCOM;W;230807;000000;122.21;122.74;113.72;114.64;18170252
QCOM;W;230814;000000;113.88;114.52;108.5;110.11;18232920
QCOM;W;230821;000000;109.84;112.57;107.76;110.32;15994590
QCOM;W;230828;000000;111.3;115.7;110.52;115.39;14312809
QCOM;W;230904;000000;114.91;117.06;105.51;106.14;24107858
QCOM;W;230911;000000;111.27;115.19;108.82;113.12;30504391
QCOM;W;230918;000000;112.89;113.83;107.361;107.67;15611329
QCOM;W;230925;000000;106.84;112.23;106.7147;111.05;15406530
QCOM;W;231002;000000;110.4;112.26;108.0464;110.87;17160101
QCOM;W;231009;000000;110.32;112.99;108.54;108.66;14575147
QCOM;W;231016;000000;109.09;114.4;108.02;108.63;19639411
QCOM;W;231023;000000;107.94;110.57;104.333;106.49;20071382
QCOM;W;231030;000000;106.71;120.1;106.18;119.5;33364017
QCOM;W;231106;000000;120;124.81;118.38;124.18;21910756
QCOM;W;231113;000000;124;130.37;122.63;129.48;24398637
QCOM;W;231120;000000;129.44;130.1199;125.75;127.75;17055547
QCOM;W;231127;000000;127.27;130.6;125.67;129.59;23159206
QCOM;W;231204;000000;129.33;133.97;128.03;132.97;18121302
QCOM;W;231211;000000;134.51;143.49;134.07;143.08;25173463
QCOM;W;231218;000000;142.51;144.4;140.4;143.53;15056634
QCOM;W;231225;000000;144.17;146.89;143.79;144.62;9021511
QCOM;W;240101;000000;142.19;142.19;134.9409;136.72;12986580
QCOM;W;240108;000000;137.07;142.66;136.03;140.17;15714335
QCOM;W;240115;000000;140;152.77;137.35;151.985;21712608
QCOM;W;240122;000000;152.75;157.98;150.38;150.69;18351255
QCOM;W;240129;000000;150.6512;151.235;139.26;141.62;36919214
QCOM;W;240205;000000;141.86;153.4;141.21;151.01;20422896
QCOM;W;240212;000000;150.38;157.76;148.41;152.7;23524202
QCOM;W;240219;000000;151.89;156.91;148.9;154.91;13228005
QCOM;W;240226;000000;156;164;154.96;163.14;17359386
QCOM;W;240304;000000;165.12;177.59;160.23;170.59;28942883
QCOM;W;240311;000000;169;173.9;165.85;167.22;15424361
QCOM;W;240318;000000;170.81;172.915;163.63;170.09;14464483
QCOM;W;240325;000000;167.88;169.89;166.97;169.29;7536483
QCOM;W;240401;000000;168.27;175.95;168.24;171.5;14728610
QCOM;W;240408;000000;172.93;175.99;170.07;171.29;12300981
QCOM;W;240415;000000;174.27;174.2746;156.34;157.62;18689308
QCOM;W;240422;000000;158.04;166.52;157.16;165.63;13553630
QCOM;W;240429;000000;165.2;183.19;163.79;179.63;33409369
QCOM;W;240506;000000;181.91;184.31;176.6157;182.08;13629815
QCOM;W;240513;000000;183.18;196.08;182.9;193.92;18014553
QCOM;W;240520;000000;194;211.3;193.28;210.5;30345676
QCOM;W;240527;000000;217.225;217.325;198.71;204.07;23325992
QCOM;W;240603;000000;209.56;212.5;201.66;206.62;19685383
QCOM;W;240610;000000;205.285;218.36;204.56;215.33;19943599
QCOM;W;240617;000000;217.09;230.63;209.41;212.48;39603153
QCOM;W;240624;000000;206.91;207.03;193.84;199.18;32830068
QCOM;W;240701;000000;199.47;206.75;196.08;205.72;11329410
QCOM;W;240708;000000;207.24;210.435;199.77;202.43;15069913
QCOM;W;240715;000000;203;211.09;185.76;186.24;22383357
QCOM;W;240722;000000;190.89;196.24;173.27;180.09;20687637
QCOM;W;240729;000000;181.5;182.64;157.53;159.33;42495244
