<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MSFT;W;250106;000000;428.06;434.32;415.02;418.91;32446229
MSFT;W;250113;000000;415.235;434.48;410.72;428.91;42661957
MSFT;W;250120;000000;430.2;447.27;425.595;443.98;34448141
MSFT;W;250127;000000;424.01;448.38;413.16;415.02;84387852
MSFT;W;250203;000000;411.6;418.65;408.1;409.76;49706071
MSFT;W;250210;000000;413.71;415.4624;404.3673;408.33;37697860
MSFT;W;250217;000000;408;419.31;406.5;408.14;42845519
MSFT;W;250224;000000;408.51;409.37;386.57;397.1425;53892269
MSFT;W;250303;000000;398.82;402.15;381;393.32;57459616
MSFT;W;250310;000000;385.84;390.23;376.91;388.54;59653885
MSFT;W;250317;000000;386.7;392.705;381.1;391.31;44466814
MSFT;W;250324;000000;395.4;396.36;376.93;378.82;38799107
MSFT;W;250331;000000;372.535;385.08;359.48;359.72;68123368
MSFT;W;250407;000000;350.88;393.225;344.79;387.99;96193685
MSFT;W;250414;000000;393.22;394.65;366.89;367.6;38226421
MSFT;W;250421;000000;362.815;392.16;355.67;391.62;44424981
MSFT;W;250428;000000;391.955;439.44;384.44;435.28;95982059
MSFT;W;250505;000000;432.87;443.67;431.1103;438.73;57291847
MSFT;W;250512;000000;445.94;456.19;439.78;454.27;68401289
MSFT;W;250519;000000;450.875;460.25;448.91;450.18;49742931
MSFT;W;250526;000000;456.48;462.52;455.3105;460.36;53486205
MSFT;W;250602;000000;457.14;473.335;456.89;470.38;46276076
MSFT;W;250609;000000;469.7;480.415;466.96;474.96;51282217
MSFT;W;250616;000000;475.21;483.46;474.08;477.4;50460622
MSFT;W;250623;000000;478.21;499.3;472.51;495.94;70104257
MSFT;W;250630;000000;497.45;500.76;488.7;498.847;45690472
MSFT;W;250707;000000;497.38;506.78;494.11;503.32;46058521
MSFT;W;250714;000000;501.515;514.64;501.03;510.05;45073758
MSFT;W;250721;000000;506.705;518.29;500.7;513.71;46578749
MSFT;W;250728;000000;514.08;555.45;509.435;524.11;82691265
MSFT;W;250804;000000;528.27;538.25;517.5511;522.04;62587356
MSFT;W;250811;000000;522.3;532.7;519.08;520.17;61015896
MSFT;W;250818;000000;521.585;522.82;502.41;507.23;66730335
MSFT;W;250825;000000;506.63;511.09;498.51;506.69;58694545
MSFT;W;250901;000000;500.465;511.97;492.37;495;50373257
MSFT;W;250908;000000;498.105;512.55;495.03;509.872;55428222
MSFT;W;250915;000000;508.79;519.3;505.93;517.93;73485634
MSFT;W;250922;000000;515.59;517.74;505.04;511.46;49128865
MSFT;W;250929;000000;511.5;521.6;508.88;517.35;56970187
MSFT;W;251006;000000;518.61;531.03;509.63;510.96;54278631
MSFT;W;251013;000000;516.41;517.19;506;513.58;43860113
MSFT;W;251020;000000;514.61;525.345;513.04;523.552;46597447
MSFT;W;251027;000000;531.78;553.72;515.1;517.81;87096681
MSFT;W;251103;000000;519.805;524.96;493.25;496.82;83041985
MSFT;W;251110;000000;500.035;513.5;497.44;510.18;75072898
MSFT;W;251117;000000;508.45;512.12;468.27;472.236;95993496
MSFT;W;251124;000000;475;492.63;464.89;491.92;68695737
MSFT;W;251201;000000;488.435;493.4999;475.2;483.16;81317806
MSFT;W;251208;000000;484.885;492.3;475.08;478.342;80413340
MSFT;W;251215;000000;480.1;489.6;470.88;485.92;103809742
MSFT;W;251222;000000;486.12;489.1625;482.69;487.71;33339326
MSFT;W;251229;000000;484.855;489.68;470.16;472.94;45380736
