<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SAMSUNGCDGN;W;250106;000000;11.18;11.18;10.88;11;27800
SAMSUNGCDGN;W;250113;000000;10.62;11.4;10.62;11.23;41200
SAMSUNGCDGN;W;250120;000000;11.64;11.9;11.49;11.53;65400
SAMSUNGCDGN;W;250127;000000;12;12.08;12;12.04;32800
SAMSUNGCDGN;W;250203;000000;11.97;12.84;11.97;12.75;69400
SAMSUNGCDGN;W;250210;000000;13;14.17;13;14.02;526400
SAMSUNGCDGN;W;250217;000000;14.3;14.64;13.7;14.57;305400
SAMSUNGCDGN;W;250224;000000;14.47;14.82;13.68;13.79;296000
SAMSUNGCDGN;W;250303;000000;13.98;15.41;13.5;15.08;215400
SAMSUNGCDGN;W;250310;000000;14.83;14.9;14.08;14.72;127800
SAMSUNGCDGN;W;250317;000000;14.8;15.41;14.4;14.56;187000
SAMSUNGCDGN;W;250324;000000;14.35;14.59;14.12;14.27;168200
SAMSUNGCDGN;W;250331;000000;14;14.15;13.5;13.56;65400
SAMSUNGCDGN;W;250407;000000;12.45;12.68;11.3;12.3;250600
SAMSUNGCDGN;W;250414;000000;12.27;12.33;11.87;12.13;65200
SAMSUNGCDGN;W;250421;000000;12.17;12.9;12.01;12.82;62800
SAMSUNGCDGN;W;250428;000000;12.66;13.23;12.65;13.23;104200
SAMSUNGCDGN;W;250505;000000;13.3;13.68;13.18;13.25;19400
SAMSUNGCDGN;W;250512;000000;13.55;14.03;13.49;13.56;58600
SAMSUNGCDGN;W;250519;000000;13.38;13.76;13.3;13.55;89000
SAMSUNGCDGN;W;250526;000000;13.48;13.48;13.05;13.05;123800
SAMSUNGCDGN;W;250602;000000;12.78;13.5;12.75;13.38;118600
SAMSUNGCDGN;W;250609;000000;13.65;13.82;13.65;13.65;332200
SAMSUNGCDGN;W;250616;000000;13.34;13.49;13.05;13.05;32600
SAMSUNGCDGN;W;250623;000000;13;13.74;13;13.55;50200
SAMSUNGCDGN;W;250630;000000;13.55;13.69;13.18;13.18;57600
SAMSUNGCDGN;W;250707;000000;13.13;13.43;13.09;13.4;38800
SAMSUNGCDGN;W;250714;000000;13.2;13.84;13.2;13.8;59200
SAMSUNGCDGN;W;250721;000000;13.9;14.5;13.87;14.12;103800
SAMSUNGCDGN;W;250728;000000;14.19;14.3;13.7;13.76;56400
SAMSUNGCDGN;W;250804;000000;13.53;13.9;13.4;13.78;61200
SAMSUNGCDGN;W;250811;000000;13.76;14.42;13.65;14.13;136800
SAMSUNGCDGN;W;250818;000000;14.38;14.47;13.9;14.3;75800
SAMSUNGCDGN;W;250825;000000;14.53;14.9;14.1;14.29;78400
SAMSUNGCDGN;W;250901;000000;14.63;14.79;14.34;14.63;41000
SAMSUNGCDGN;W;250908;000000;14.71;15.52;14.71;15.41;126200
SAMSUNGCDGN;W;250915;000000;15.41;16.4;15.41;15.95;208600
SAMSUNGCDGN;W;250922;000000;15.8;16.37;15.56;15.8;47200
SAMSUNGCDGN;W;250929;000000;15.73;16.79;15.73;16.5;70000
SAMSUNGCDGN;W;251006;000000;16.37;16.37;15.67;15.7;41000
SAMSUNGCDGN;W;251013;000000;15.47;15.57;14.6;14.6;99000
SAMSUNGCDGN;W;251020;000000;15.1;15.38;14.95;15.32;82400
SAMSUNGCDGN;W;251027;000000;15.54;15.68;15.25;15.25;67800
SAMSUNGCDGN;W;251103;000000;15.1;15.23;14.73;15.03;20200
SAMSUNGCDGN;W;251110;000000;14.95;15.9;14.76;14.76;96400
SAMSUNGCDGN;W;251117;000000;14.62;14.62;13.67;13.77;68800
SAMSUNGCDGN;W;251124;000000;13.6;14.41;13.6;14.28;41200
SAMSUNGCDGN;W;251201;000000;14.3;14.48;14.19;14.38;23000
SAMSUNGCDGN;W;251208;000000;14.25;14.35;14.14;14.34;26200
SAMSUNGCDGN;W;251215;000000;14.14;14.14;13.8;13.95;6800
SAMSUNGCDGN;W;251222;000000;14.11;14.11;14;14.02;12800
SAMSUNGCDGN;W;251229;000000;14;14.52;13.95;14.5;87600
