<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MSFT;D;230320;000000;276.98;277.48;269.85;272.23;26985716
MSFT;D;230321;000000;274.88;275;269.5191;273.79;19257582
MSFT;D;230322;000000;273.4;281.04;272.18;272.28;22233293
MSFT;D;230323;000000;277.94;281.06;275.2;277.63;23606981
MSFT;D;230324;000000;277.24;280.63;275.28;280.57;18223551
MSFT;D;230327;000000;280.5;281.4589;275.52;276.38;17269560
MSFT;D;230328;000000;275.79;276.14;272.0451;275.26;13975652
MSFT;D;230329;000000;278.96;281.1398;278.41;280.52;14628137
MSFT;D;230330;000000;284.23;284.46;281.48;284.09;15199233
MSFT;D;230331;000000;283.73;288.82;283;288.39;18002395
MSFT;D;230403;000000;286.52;288.27;283.95;287.13;16239165
MSFT;D;230404;000000;287.23;290.4499;285.67;287.24;16678444
MSFT;D;230405;000000;285.85;287.15;282.92;284.34;14255091
MSFT;D;230406;000000;283.21;292.08;282.03;291.57;19168380
MSFT;D;230410;000000;289.208;289.6;284.71;289.39;15759049
MSFT;D;230411;000000;285.75;285.98;281.64;282.87;17916866
MSFT;D;230412;000000;284.79;287.01;281.96;283.6;17601233
MSFT;D;230413;000000;283.59;289.9;283.17;289.87;14714055
MSFT;D;230414;000000;287;288.48;283.69;286.13;13688592
MSFT;D;230417;000000;289.93;291.6;286.16;288.79;14471774
MSFT;D;230418;000000;291.57;291.755;287.01;288.28;12010393
MSFT;D;230419;000000;285.99;289.05;284.54;288.43;10890949
MSFT;D;230420;000000;285.25;289.03;285.08;286.11;13304998
MSFT;D;230421;000000;285.01;286.27;283.0608;285.79;12437943
MSFT;D;230424;000000;282.09;284.95;278.72;281.85;17368846
MSFT;D;230425;000000;279.51;281.6;275.37;275.56;21463010
MSFT;D;230426;000000;296.7;299.57;292.73;295.35;42490206
MSFT;D;230427;000000;295.97;305.2;295.25;304.68;29893067
MSFT;D;230428;000000;304.01;308.93;303.31;307.32;22580218
MSFT;D;230501;000000;306.97;308.6;305.15;305.55;13817107
MSFT;D;230502;000000;307.76;309.18;303.91;305.41;15978606
MSFT;D;230503;000000;306.62;308.61;304.09;304.42;13893757
MSFT;D;230504;000000;306.24;307.7626;303.4;305.535;13870940
MSFT;D;230505;000000;305.72;311.97;304.27;310.62;16603131
MSFT;D;230508;000000;310.13;310.2;306.09;308.64;13906079
MSFT;D;230509;000000;308;310.04;306.31;306.94;13416253
MSFT;D;230510;000000;308.62;313;307.67;312.33;17673787
MSFT;D;230511;000000;310.1;311.12;306.2601;310.09;17132319
MSFT;D;230512;000000;310.55;310.65;306.6;309.02;11987906
MSFT;D;230515;000000;309.095;309.905;307.59;309.51;9797923
MSFT;D;230516;000000;309.83;313.71;309.83;311.76;15676343
MSFT;D;230517;000000;312.29;314.43;310.74;314.005;12283022
MSFT;D;230518;000000;314.53;319.04;313.72;318.56;15305825
MSFT;D;230519;000000;316.74;318.75;316.37;318.38;14129489
MSFT;D;230522;000000;318.6;322.59;318.01;321.235;13963204
MSFT;D;230523;000000;320.03;322.72;315.25;315.28;18009421
MSFT;D;230524;000000;314.73;316.5;312.61;313.85;13120570
MSFT;D;230525;000000;323.24;326.9;320;325.96;24840067
MSFT;D;230526;000000;324.02;333.4;323.88;332.86;21526856
MSFT;D;230530;000000;335.23;335.74;330.52;331.22;17343051
MSFT;D;230531;000000;332.29;335.94;327.33;328.76;19010220
MSFT;D;230601;000000;325.93;333.53;324.72;332.63;13838143
MSFT;D;230602;000000;334.247;337.5;332.55;335.34;14581831
MSFT;D;230605;000000;335.22;338.5599;334.6601;335.94;11821851
MSFT;D;230606;000000;335.33;335.37;332.17;333.63;12010287
MSFT;D;230607;000000;331.65;334.49;322.5;323.46;23782420
MSFT;D;230608;000000;323.935;326.64;323.35;325.24;12711121
MSFT;D;230609;000000;324.99;329.99;324.41;326.86;12765555
MSFT;D;230612;000000;328.58;332.0999;325.16;331.86;12415913
MSFT;D;230613;000000;334.465;336.98;330.39;334.32;12077912
MSFT;D;230614;000000;334.34;339.04;332.81;337.3;13672235
MSFT;D;230615;000000;337.48;349.84;337.2;348.13;21957342
MSFT;D;230616;000000;351.32;351.47;341.95;342.56;23608009
MSFT;D;230620;000000;339.31;342.08;335.86;338.05;14468388
MSFT;D;230621;000000;336.37;337.73;332.07;333.57;11888171
MSFT;D;230622;000000;334.12;340.12;333.34;339.69;13764926
MSFT;D;230623;000000;334.36;337.96;333.45;335.01;11052417
MSFT;D;230626;000000;333.72;336.11;328.49;328.7;11670247
MSFT;D;230627;000000;331.86;336.15;329.3;334.54;12276381
MSFT;D;230628;000000;334.66;337.98;333.81;335.75;10986219
MSFT;D;230629;000000;334.71;336.11;332.62;335.05;9206511
MSFT;D;230630;000000;337.75;342.73;337.2;340.32;12579886
MSFT;D;230703;000000;339.19;340.9;336.571;337.99;8521740
MSFT;D;230705;000000;335.09;341.65;334.7276;338.16;9639896
MSFT;D;230706;000000;337.3;342.99;335.5;341.16;16929311
MSFT;D;230707;000000;339.32;341.79;337;337.09;11573052
MSFT;D;230710;000000;334.6;335.23;327.59;331.86;20097364
MSFT;D;230711;000000;331.06;332.86;327;332.47;16727889
MSFT;D;230712;000000;336.6;341.652;335.67;337.47;17077630
MSFT;D;230713;000000;339.56;343.74;339.02;342.75;12102794
MSFT;D;230714;000000;347.59;351.43;344.31;345.37;16996556
MSFT;D;230717;000000;345.678;346.99;342.2;345.74;10604622
MSFT;D;230718;000000;345.83;366.78;342.17;359.52;44769692
MSFT;D;230719;000000;361.75;362.46;352.435;355.08;23757101
MSFT;D;230720;000000;353.57;357.97;345.37;346.84;19081226
MSFT;D;230721;000000;349.15;350.3;339.83;343.61;22602207
MSFT;D;230724;000000;345.85;346.92;342.31;345.15;14112392
MSFT;D;230725;000000;347.11;351.89;345.07;350.95;20366873
MSFT;D;230726;000000;341.44;344.67;333.11;337.93;38271008
MSFT;D;230727;000000;340.48;341.33;329.05;330.65;25347473
MSFT;D;230728;000000;333.67;340.01;333.17;338.35;17348545
MSFT;D;230731;000000;336.92;337.695;333.36;335.99;14022011
MSFT;D;230801;000000;335.19;338.54;333.7;336.35;10903892
MSFT;D;230802;000000;333.63;333.63;326.3551;327.5;16070973
MSFT;D;230803;000000;326;329.88;325.95;326.64;10475408
MSFT;D;230804;000000;331.88;335.14;327.24;327.8;14347362
MSFT;D;230807;000000;328.37;331.11;327.52;330.11;9272114
MSFT;D;230808;000000;326.96;328.75;323;326.1;12562462
MSFT;D;230809;000000;326.47;327.11;321.0499;322.25;10746663
MSFT;D;230810;000000;326.015;328.26;321.18;322.98;10800094
MSFT;D;230811;000000;320.26;322.41;319.21;321.09;11320180
MSFT;D;230814;000000;321.39;324.06;320.08;324.03;11923125
MSFT;D;230815;000000;323;325.09;320.9034;321.89;10087031
MSFT;D;230816;000000;320.8;324.42;319.8035;320.38;9744634
MSFT;D;230817;000000;320.54;321.87;316.21;316.88;11211313
MSFT;D;230818;000000;314.49;318.38;311.5508;316.5217;13973424
MSFT;D;230821;000000;317.93;322.77;317.04;321.91;9731048
MSFT;D;230822;000000;325.5;326.075;321.46;322.45;8389109
MSFT;D;230823;000000;323.82;329.2;323.46;326.99;9689408
MSFT;D;230824;000000;332.85;332.98;319.97;320.01;11345484
MSFT;D;230825;000000;321.47;325.36;318.8001;322.94;10738600
MSFT;D;230828;000000;325.66;326.15;321.722;323.74;7943066
MSFT;D;230829;000000;321.88;328.9835;321.88;328.4;9763682
MSFT;D;230830;000000;328.67;329.81;326.445;328.765;7641498
MSFT;D;230831;000000;329.2;330.9099;326.78;327.82;9227888
MSFT;D;230901;000000;331.31;331.99;326.78;328.54;7608979
MSFT;D;230905;000000;329;334.85;328.66;333.56;9298941
MSFT;D;230906;000000;333.38;334.46;330.18;332.87;9018566
MSFT;D;230907;000000;331.29;333.08;329.03;329.96;8896264
MSFT;D;230908;000000;330.09;336.16;329.46;334.3;10801555
MSFT;D;230911;000000;337.24;338.42;335.43;338.01;8313334
MSFT;D;230912;000000;335.815;336.79;331.48;331.74;8612892
MSFT;D;230913;000000;331.31;336.85;331.17;335.92;7959294
MSFT;D;230914;000000;339.148;340.86;336.57;338.69;10325641
MSFT;D;230915;000000;336.92;337.3975;329.65;330.34;16359387
MSFT;D;230918;000000;327.8;330.4;326.36;329.06;8731776
MSFT;D;230919;000000;326.17;329.39;324.51;328.63;9324539
MSFT;D;230920;000000;329.51;329.59;320.53;320.75;10657937
MSFT;D;230921;000000;319.26;325.3499;315;319.54;21161771
MSFT;D;230922;000000;321.32;321.45;316.15;317.01;10803150
MSFT;D;230925;000000;316.59;317.67;315;317.6;9640022
MSFT;D;230926;000000;315.13;315.88;310.02;312.07;14766270
MSFT;D;230927;000000;312.3;314.299;309.69;312.77;11416700
MSFT;D;230928;000000;310.99;315.48;309.45;313.58;10937222
MSFT;D;230929;000000;317.75;319.47;314.98;315.75;10921376
MSFT;D;231002;000000;316.28;321.87;315.18;321.81;11472880
MSFT;D;231003;000000;320.83;321.3;311.215;313.39;12134894
MSFT;D;231004;000000;314.03;320.04;314;318.765;10890106
MSFT;D;231005;000000;319.09;319.98;314.9;319.37;9545757
MSFT;D;231006;000000;316.55;329.19;316.3;327.28;13857032
MSFT;D;231009;000000;324.75;330.3;323.18;329.82;11356525
