<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
QCOM;D;230103;000000;111.35;111.74;107.13;107.2;4025966
QCOM;D;230104;000000;109.8;112.23;108.81;111.54;3841632
QCOM;D;230105;000000;109.93;110.92;109.13;109.43;3618280
QCOM;D;230106;000000;110.96;115.98;110.05;115.34;5352986
QCOM;D;230109;000000;116.73;118.85;113.54;114.63;6024998
QCOM;D;230110;000000;114.02;116.97;113.7211;116.91;3360902
QCOM;D;230111;000000;117.44;118.5;115.17;118.4;4113165
QCOM;D;230112;000000;119.24;122.38;117.65;121.59;5297327
QCOM;D;230113;000000;119.82;121.42;119.72;120.23;3906452
QCOM;D;230117;000000;119.735;121.32;119.02;120.28;3117325
QCOM;D;230118;000000;121.62;123.99;121.01;122.04;6591097
QCOM;D;230119;000000;121.06;121.1;117.42;117.54;4453166
QCOM;D;230120;000000;118.42;122.96;117.34;122.91;4852826
QCOM;D;230123;000000;126.54;132.06;125.82;131.02;7926871
QCOM;D;230124;000000;130.55;132.97;130.15;130.7;4886941
QCOM;D;230125;000000;128.45;131.54;127.7;131.18;4004755
QCOM;D;230126;000000;134.405;134.85;131.1646;133.96;4138566
QCOM;D;230127;000000;131.49;134.89;131.42;133.44;3701845
QCOM;D;230130;000000;131.05;132.4;130.15;131.64;5543311
QCOM;D;230131;000000;131.325;133.635;131.325;133.21;3534939
QCOM;D;230201;000000;132.68;139.94;132.68;138.57;5175589
QCOM;D;230202;000000;138.46;139.1637;134.801;135.93;9839055
QCOM;D;230203;000000;131.16;138.4;128.57;135.07;7559890
QCOM;D;230206;000000;132.27;134.88;131.86;132.93;3038629
QCOM;D;230207;000000;133.15;137.38;132.33;136.61;3665910
QCOM;D;230208;000000;135.31;136.28;131.76;132.18;3844535
QCOM;D;230209;000000;133.89;135.228;129.92;130.48;3126878
QCOM;D;230210;000000;129.29;129.94;127.6201;129;2732834
QCOM;D;230213;000000;129.46;131.43;128.39;130.84;2491358
