<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AAPL;D;230405;000000;164.74;165.05;161.8;163.76;38431569
AAPL;D;230406;000000;162.43;164.9584;162;164.65;32016069
AAPL;D;230410;000000;161.42;162.03;160.08;162.025;35066679
AAPL;D;230411;000000;162.35;162.36;160.51;160.8;33505749
AAPL;D;230412;000000;161.22;162.06;159.78;160.13;36396089
AAPL;D;230413;000000;161.63;165.8;161.42;165.59;48330500
AAPL;D;230414;000000;164.59;166.32;163.82;165.21;35680367
AAPL;D;230417;000000;165.09;165.39;164.03;165.27;29441376
AAPL;D;230418;000000;166.1;167.41;165.65;166.46;34378420
AAPL;D;230419;000000;165.8;168.16;165.54;167.62;34129431
AAPL;D;230420;000000;166.09;167.87;165.56;166.65;36399572
AAPL;D;230421;000000;165.05;166.4521;164.49;165.02;40157942
AAPL;D;230424;000000;165;165.6;163.89;165.36;28241458
AAPL;D;230425;000000;165.19;166.305;163.73;163.8;33800633
AAPL;D;230426;000000;163.055;165.28;162.8;163.72;30433237
AAPL;D;230427;000000;165.19;168.56;165.19;168.4;43102429
AAPL;D;230428;000000;168.49;169.85;167.8801;169.69;38014712
AAPL;D;230501;000000;169.28;170.45;168.64;169.56;37102100
AAPL;D;230502;000000;170.09;170.35;167.54;168.55;34192072
AAPL;D;230503;000000;169.5;170.92;167.16;167.465;42186637
AAPL;D;230504;000000;164.89;167.04;164.31;165.78;47309999
AAPL;D;230505;000000;170.975;174.3;170.76;173.62;80779193
AAPL;D;230508;000000;172.48;173.85;172.11;173.52;38392017
AAPL;D;230509;000000;173.05;173.54;171.6;171.78;30550827
AAPL;D;230510;000000;173.02;174.03;171.9;173.5504;37297033
AAPL;D;230511;000000;173.85;174.59;172.17;173.81;36180589
AAPL;D;230512;000000;173.62;174.06;171;172.56;32659537
AAPL;D;230515;000000;173.16;173.21;171.47;172.14;25619556
AAPL;D;230516;000000;171.99;173.1383;171.7991;172.08;30241440
AAPL;D;230517;000000;171.71;172.925;170.4201;172.65;38060970
AAPL;D;230518;000000;173;175.24;172.58;175.07;44582295
AAPL;D;230519;000000;176.39;176.39;174.94;175.19;36759604
AAPL;D;230522;000000;173.98;174.71;173.45;174.24;29988471
AAPL;D;230523;000000;173.13;173.3794;171.275;171.55;32444502
AAPL;D;230524;000000;171.09;172.4183;170.52;171.85;30215466
AAPL;D;230525;000000;172.41;173.895;171.69;172.9984;35232901
AAPL;D;230526;000000;173.32;175.77;173.11;175.38;36438232
AAPL;D;230530;000000;176.96;178.99;176.57;177.33;37620656
AAPL;D;230531;000000;177.325;179.35;176.76;177.42;49920893
AAPL;D;230601;000000;177.7;180.12;176.9306;180.1;46035802
AAPL;D;230602;000000;181.03;181.78;179.26;180.95;43738963
AAPL;D;230605;000000;182.63;184.951;178.035;179.63;97300345
AAPL;D;230606;000000;179.965;180.12;177.43;179.16;47091768
AAPL;D;230607;000000;178.44;181.21;177.32;177.83;41176659
AAPL;D;230608;000000;177.895;180.84;177.46;180.58;33796379
AAPL;D;230609;000000;181.5;182.23;180.63;181.05;33707313
AAPL;D;230612;000000;181.27;183.88;180.97;183.86;29677215
AAPL;D;230613;000000;182.8;184.15;182.44;183.31;34501213
AAPL;D;230614;000000;183.37;184.39;182.02;183.97;38367450
AAPL;D;230615;000000;183.96;186.52;183.78;186.03;43875278
AAPL;D;230616;000000;186.73;186.99;184.27;185.02;48083095
AAPL;D;230620;000000;184.41;186.1;184.41;185.03;31505235
AAPL;D;230621;000000;184.9;185.41;182.5901;183.96;31169640
AAPL;D;230622;000000;183.74;187.045;183.67;186.97;35468275
AAPL;D;230623;000000;185.55;187.56;185.01;186.675;32841647
AAPL;D;230626;000000;186.83;188.05;185.235;185.32;32211550
AAPL;D;230627;000000;185.89;188.39;185.67;188.04;33786485
AAPL;D;230628;000000;187.93;189.9;187.6;189.24;34216134
AAPL;D;230629;000000;189.08;190.07;188.94;189.6;31542978
AAPL;D;230630;000000;191.63;194.48;191.26;193.82;50101987
AAPL;D;230703;000000;193.78;193.88;191.76;192.46;25189456
AAPL;D;230705;000000;191.565;192.98;190.62;191.34;30708410
AAPL;D;230706;000000;189.84;192.02;189.2;191.78;28777634
AAPL;D;230707;000000;191.41;192.67;190.24;190.63;31152862
AAPL;D;230710;000000;189.26;189.99;187.035;188.63;40497972
AAPL;D;230711;000000;189.16;189.3;186.6;188.06;31833753
AAPL;D;230712;000000;189.68;191.7;188.47;189.81;39482504
AAPL;D;230713;000000;190.5;191.19;189.78;190.56;27197477
AAPL;D;230714;000000;190.23;191.1799;189.63;190.72;28006361
AAPL;D;230717;000000;191.9;194.32;191.81;193.98;33979965
AAPL;D;230718;000000;193.35;194.33;192.415;193.73;34017518
AAPL;D;230719;000000;193.1;198.23;192.65;195.11;55166545
AAPL;D;230720;000000;195.09;196.47;192.495;193.16;42890762
AAPL;D;230721;000000;194.1;194.97;191.23;191.93;34415968
AAPL;D;230724;000000;193.41;194.91;192.25;192.74;27279918
AAPL;D;230725;000000;193.33;194.44;192.915;193.62;23087235
AAPL;D;230726;000000;193.67;195.64;193.32;194.52;28377012
AAPL;D;230727;000000;196.02;197.2;192.55;193.23;33254998
AAPL;D;230728;000000;194.67;196.626;194.14;195.8599;29358288
AAPL;D;230731;000000;196.06;196.49;195.26;196.445;23472819
AAPL;D;230801;000000;196.235;196.73;195.28;195.61;22834855
AAPL;D;230802;000000;195.04;195.18;191.8507;192.58;30711026
AAPL;D;230803;000000;191.57;192.37;190.69;191.12;34711576
AAPL;D;230804;000000;185.52;187.38;181.95;181.99;81393469
AAPL;D;230807;000000;182.13;183.13;177.35;178.809;70341527
AAPL;D;230808;000000;179.69;180.27;177.58;179.81;47490618
AAPL;D;230809;000000;180.87;180.93;177.01;178.18;41783057
AAPL;D;230810;000000;179.48;180.75;177.6;177.99;39098697
AAPL;D;230811;000000;177.32;178.62;176.55;177.89;33935523
AAPL;D;230814;000000;177.97;179.69;177.305;179.51;33341790
AAPL;D;230815;000000;178.88;179.48;177.05;177.5;26774514
AAPL;D;230816;000000;177.13;178.54;176.5;176.58;29187895
AAPL;D;230817;000000;177.14;177.5054;173.48;173.99;40720107
AAPL;D;230818;000000;172.3;175.1;171.96;174.49;37064615
AAPL;D;230821;000000;175.07;176.13;173.735;175.86;27884019
AAPL;D;230822;000000;177.06;177.68;176.25;177.22;28929036
AAPL;D;230823;000000;178.52;181.55;178.325;181.18;35940502
AAPL;D;230824;000000;180.674;181.104;176.01;176.33;33176857
AAPL;D;230825;000000;177.38;179.15;175.82;178.66;32040739
AAPL;D;230828;000000;180.09;180.59;178.545;180.21;27744757
AAPL;D;230829;000000;179.695;184.9;179.5;184.12;36824708
AAPL;D;230830;000000;184.94;187.79;184.74;187.67;44805971
AAPL;D;230831;000000;187.84;189.12;187.48;187.9;34525786
AAPL;D;230901;000000;189.485;189.92;188.28;189.44;29951467
AAPL;D;230905;000000;188.28;189.98;187.61;189.69;29777640
AAPL;D;230906;000000;188.4;188.85;181.47;182.85;60647823
AAPL;D;230907;000000;175.18;178.21;173.54;177.58;81965103
AAPL;D;230908;000000;178.35;180.239;177.79;178.19;49260343
AAPL;D;230911;000000;180.07;180.3;177.34;179.38;42066338
AAPL;D;230912;000000;179.49;180.13;174.82;176.31;68738883
AAPL;D;230913;000000;176.51;177.3;173.98;174.2144;57467813
AAPL;D;230914;000000;174;176.1;173.58;175.75;40948620
AAPL;D;230915;000000;176.48;176.495;173.82;174.985;57221998
AAPL;D;230918;000000;176.48;179.38;176.17;177.99;48521659
AAPL;D;230919;000000;177.52;179.63;177.13;179.1;37840301
AAPL;D;230920;000000;179.26;179.695;175.4;175.49;41576252
AAPL;D;230921;000000;174.55;176.3;173.865;173.93;42520784
AAPL;D;230922;000000;174.67;177.079;174.05;174.74;40248574
AAPL;D;230925;000000;174.2;176.97;174.15;176.09;34629086
AAPL;D;230926;000000;174.82;175.2;171.66;171.9;45363909
AAPL;D;230927;000000;172.62;173.04;169.05;170.33;48713983
AAPL;D;230928;000000;169.34;172.03;167.62;170.65;43143609
AAPL;D;230929;000000;172.02;173.07;170.341;171.22;32434034
AAPL;D;231002;000000;171.22;174.3;170.93;173.78;36135081
