<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CSCO;D;230103;000000;47.86;48.05;47.31;47.94;11345815
CSCO;D;230104;000000;48.28;48.48;47.17;47.55;10330622
CSCO;D;230105;000000;47.49;47.49;46.76;46.88;8741507
CSCO;D;230106;000000;47.46;48.585;47.275;48.29;11002842
CSCO;D;230109;000000;48.255;49.21;48.22;48.58;8529465
CSCO;D;230110;000000;48.8;49.21;48.59;48.83;8094206
CSCO;D;230111;000000;48.83;49.23;48.7;49.21;7890148
CSCO;D;230112;000000;49.21;49.43;48.85;49;8174037
CSCO;D;230113;000000;48.56;49.02;48.42;48.87;7784438
CSCO;D;230117;000000;48.92;48.94;47.95;48.07;11612136
CSCO;D;230118;000000;48.185;48.27;46.8903;46.9;13459981
CSCO;D;230119;000000;46.95;47.05;46.39;46.455;12169939
CSCO;D;230120;000000;46.06;46.83;45.67;46.77;13155926
CSCO;D;230123;000000;46.895;47.87;46.81;47.48;10612899
CSCO;D;230124;000000;47.49;48.015;47.055;47.81;8964056
CSCO;D;230125;000000;47.98;48.079;47.23;47.97;10139266
CSCO;D;230126;000000;48.15;48.465;47.83;48.34;8793832
CSCO;D;230127;000000;48.1;48.73;47.97;48.5;8248372
CSCO;D;230130;000000;48.14;48.5;48.12;48.23;8752582
CSCO;D;230131;000000;48.12;48.69;48.05;48.68;7831325
CSCO;D;230201;000000;48.39;48.9;47.505;48.58;13770254
CSCO;D;230202;000000;48.53;49.56;48.355;49.31;12548252
CSCO;D;230203;000000;49.3;49.3;48.505;48.62;9544626
CSCO;D;230206;000000;48.07;48.28;47.515;47.58;8475673
CSCO;D;230207;000000;47.24;48.145;46.97;47.83;10968678
CSCO;D;230208;000000;47.38;47.54;46.77;46.98;12171132
CSCO;D;230209;000000;47.225;47.41;46.43;46.74;12540067
CSCO;D;230210;000000;46.7;47.32;46.64;47.255;12870717
CSCO;D;230213;000000;47.45;47.99;47.39;47.88;10287345
CSCO;D;230214;000000;47.78;48;47.18;47.68;10264588
CSCO;D;230215;000000;47.5;48.5;47.33;48.5;15087316
CSCO;D;230216;000000;49.99;51.74;49.8;50.96;36932920
CSCO;D;230217;000000;51.325;51.44;50.6;50.76;16933311
CSCO;D;230221;000000;50.71;50.76;49.62;49.71;14520515
CSCO;D;230222;000000;49.85;49.85;48.89;49.33;10445862
CSCO;D;230223;000000;49.535;49.68;48.55;49.21;8738940
CSCO;D;230224;000000;48.805;48.9;48.165;48.475;10593284
CSCO;D;230227;000000;48.95;49.335;48.55;48.73;9778791
CSCO;D;230228;000000;48.81;48.93;48.38;48.395;8707494
CSCO;D;230301;000000;48.44;48.59;48.02;48.35;8441333
CSCO;D;230302;000000;48.32;48.63;48.12;48.53;12878897
CSCO;D;230303;000000;48.99;49.36;48.815;49.29;8722381
CSCO;D;230306;000000;49.455;49.81;49.24;49.425;9102029
CSCO;D;230307;000000;49.57;49.755;48.63;48.9;10004776
CSCO;D;230308;000000;49.02;49.27;48.74;49.12;7705268
CSCO;D;230309;000000;49.3;49.69;48.705;48.8;8320755
CSCO;D;230310;000000;48.89;49.17;48.3;48.56;10674363
CSCO;D;230313;000000;48.53;48.88;48.12;48.41;13046050
CSCO;D;230314;000000;48.68;49.255;48.505;49.05;10378065
CSCO;D;230315;000000;48.37;49.11;48.37;49.09;11858846
CSCO;D;230316;000000;48.68;50.29;48.51;50.12;12225542
CSCO;D;230317;000000;50.26;50.55;49.735;50.209;21569271
CSCO;D;230320;000000;50.22;51.04;50.01;50.93;12448846
CSCO;D;230321;000000;51.205;51.33;50.33;50.66;14108508
CSCO;D;230322;000000;50.74;50.75;49.43;49.43;15765339
CSCO;D;230323;000000;49.56;50.25;49.405;49.71;12006881
CSCO;D;230324;000000;49.9;50.55;49.495;50.53;12598631
CSCO;D;230327;000000;50.7;50.95;50.48;50.55;7684614
CSCO;D;230328;000000;50.32;50.595;50.27;50.4;6958121
CSCO;D;230329;000000;50.725;51.27;50.64;51.195;9280976
CSCO;D;230330;000000;51.58;51.68;51.125;51.43;7427261
CSCO;D;230331;000000;51.44;52.35;51.39;52.265;11604005
CSCO;D;230403;000000;52.06;52.56;51.99;52.32;8917923
CSCO;D;230404;000000;52.03;52.12;51.43;51.81;9295490
CSCO;D;230405;000000;52.07;52.29;51.68;51.82;8965969
CSCO;D;230406;000000;50.92;51.564;50.725;51.265;9758460
CSCO;D;230410;000000;51.11;51.4;50.875;51.345;6152878
CSCO;D;230411;000000;51.12;51.3;50.52;50.63;11738662
CSCO;D;230412;000000;50.82;50.95;50.05;50.145;11154312
CSCO;D;230413;000000;50.21;50.83;50.09;50.81;8732577
CSCO;D;230414;000000;50.52;50.85;50.2;50.54;8295456
CSCO;D;230417;000000;50.56;50.675;50.05;50.295;8088689
CSCO;D;230418;000000;50.38;50.69;50.07;50.29;9476535
CSCO;D;230419;000000;49.23;49.27;47.99;48.02;23512086
CSCO;D;230420;000000;47.61;47.65;46.36;46.58;30971768
CSCO;D;230421;000000;46.565;47.115;46.24;47.03;14919022
CSCO;D;230424;000000;47.05;47.45;47;47.385;11537059
CSCO;D;230425;000000;47.37;47.43;46.805;47.09;11452652
CSCO;D;230426;000000;46.76;46.85;46.425;46.53;16924803
CSCO;D;230427;000000;46.78;46.8;45.97;46.54;14784309
CSCO;D;230428;000000;46.685;47.26;46.61;47.255;13450996
CSCO;D;230501;000000;47.2;47.52;47.125;47.345;7915777
CSCO;D;230502;000000;46.905;47.08;46.06;46.34;13524272
CSCO;D;230503;000000;46.42;46.55;45.86;45.95;16042586
CSCO;D;230504;000000;45.77;45.93;45.555;45.7;12707912
CSCO;D;230505;000000;46.12;46.36;45.92;46.24;9402836
CSCO;D;230508;000000;46.44;46.52;46.09;46.315;8368595
CSCO;D;230509;000000;45.98;46.515;45.92;46.49;10129793
CSCO;D;230510;000000;46.7;46.93;46.15;46.72;9259739
CSCO;D;230511;000000;46.83;46.85;46.2;46.35;7507536
CSCO;D;230512;000000;46.28;46.81;46.28;46.73;10215209
CSCO;D;230515;000000;46.8;47.26;46.56;47.11;8730986
CSCO;D;230516;000000;47.24;47.33;46.8;46.91;12836894
CSCO;D;230517;000000;47.15;47.76;47.0125;47.6;17718463
CSCO;D;230518;000000;45.76;48.245;45.7;48.22;31764524
CSCO;D;230519;000000;48.43;49.34;48.4;49.14;20258155
CSCO;D;230522;000000;49.11;49.229;48.77;48.835;10838107
CSCO;D;230523;000000;48.61;49.35;48.6;48.9;12332821
CSCO;D;230524;000000;48.95;49;48.174;48.43;10555892
CSCO;D;230525;000000;47.77;49.23;47.72;49.04;14192438
CSCO;D;230526;000000;49.11;50.09;49.11;49.85;12848335
CSCO;D;230530;000000;49.99;50.485;49.74;50.2;13513945
CSCO;D;230531;000000;49.91;50.025;49.605;49.69;14584644
CSCO;D;230601;000000;49.76;50.085;49.2609;49.74;11775105
CSCO;D;230602;000000;49.87;50.25;49.73;50.02;10896774
CSCO;D;230605;000000;50.22;50.58;50.04;50.215;9378751
CSCO;D;230606;000000;49.79;49.91;49.14;49.8;11811345
CSCO;D;230607;000000;49.7;50.14;49.65;49.79;10247555
CSCO;D;230608;000000;49.92;50;49.57;49.66;8044163
CSCO;D;230609;000000;49.532;49.97;49.365;49.67;7576533
CSCO;D;230612;000000;49.915;50.51;49.67;50.5;9400392
CSCO;D;230613;000000;50.685;50.94;50.45;50.83;10301778
CSCO;D;230614;000000;50.8;51.22;50.63;50.96;10861482
CSCO;D;230615;000000;50.905;52.07;50.83;51.92;13681853
CSCO;D;230616;000000;52.2;52.405;51.93;52.07;16824261
CSCO;D;230620;000000;51.94;52.08;51.47;51.56;11095011
CSCO;D;230621;000000;51.38;51.4;50.82;50.84;10049083
CSCO;D;230622;000000;50.65;51.14;50.4291;51.12;10887773
CSCO;D;230623;000000;50.64;50.72;50.09;50.31;8267691
CSCO;D;230626;000000;50.305;50.8;50.18;50.2;7810848
CSCO;D;230627;000000;50.31;51.04;50.25;50.87;7660497
CSCO;D;230628;000000;50.78;51.015;50.44;50.89;6894614
CSCO;D;230629;000000;50.86;51.27;50.82;51.23;6916648
CSCO;D;230630;000000;51.88;52.26;51.52;51.725;9722357
CSCO;D;230703;000000;51.36;51.83;51.33;51.82;6005360
CSCO;D;230705;000000;50.97;51.57;50.925;51.495;9846818
CSCO;D;230706;000000;51.065;51.19;50.65;51.1;8157492
CSCO;D;230707;000000;51;51.65;50.74;50.985;8915436
CSCO;D;230710;000000;51.07;51.5;51.02;51.41;12574934
CSCO;D;230711;000000;51.57;52.1475;51.54;52.105;10264209
CSCO;D;230712;000000;51.56;51.93;50.5319;50.76;17676089
CSCO;D;230713;000000;50.69;51.62;50.65;51.54;12207873
CSCO;D;230714;000000;50.42;50.97;50.055;50.37;14142023
CSCO;D;230717;000000;50.2;50.95;50.14;50.82;9925576
CSCO;D;230718;000000;50.98;51.37;50.8525;51.26;11225768
CSCO;D;230719;000000;52.21;52.44;51.7;52.41;14093744
CSCO;D;230720;000000;52.06;52.87;51.915;52.375;16404827
CSCO;D;230721;000000;52.745;52.995;52.525;52.65;16791491
CSCO;D;230724;000000;52.69;53.31;52.67;53.13;10710055
CSCO;D;230725;000000;53.19;53.76;53.11;53.61;10950552
CSCO;D;230726;000000;53.54;53.65;52.96;53.24;9445286
CSCO;D;230727;000000;53.6;53.885;52.855;52.99;10413830
CSCO;D;230728;000000;52.062;52.42;51.77;52.09;15185603
CSCO;D;230731;000000;51.84;52.18;51.74;52.065;8120084
CSCO;D;230801;000000;52.57;52.78;52.305;52.68;9422514
CSCO;D;230802;000000;52.38;53.11;52.32;52.57;9443312
CSCO;D;230803;000000;52.49;53.27;52.24;53.14;9875425
CSCO;D;230804;000000;52.88;53.32;52.54;52.63;7876342
CSCO;D;230807;000000;52.97;53.065;52.682;53.025;6816110
CSCO;D;230808;000000;52.66;53.13;52.355;53.065;7617676
CSCO;D;230809;000000;52.9;53.45;52.66;53;10510542
CSCO;D;230810;000000;53.41;54.14;53.17;53.38;11170162
CSCO;D;230811;000000;53.35;53.945;53.185;53.8;10108836
CSCO;D;230814;000000;53.8;54.13;53.72;53.88;14041795
CSCO;D;230815;000000;53.62;53.7289;53.18;53.34;12228365
CSCO;D;230816;000000;53.19;53.52;52.87;52.95;15491680
CSCO;D;230817;000000;54.44;55.835;54.37;54.71;35024480
CSCO;D;230818;000000;54.63;55.46;54.62;55.05;18936306
CSCO;D;230821;000000;55.2;55.79;55.165;55.45;11952774
CSCO;D;230822;000000;55.48;55.82;55.28;55.46;11929111
CSCO;D;230823;000000;55.61;56.2;55.4;56;11468700
CSCO;D;230824;000000;56.32;56.475;55.21;55.23;10527970
CSCO;D;230825;000000;55.25;55.87;55.25;55.69;10652842
CSCO;D;230828;000000;55.89;56.28;55.68;56.205;8910066
CSCO;D;230829;000000;56.35;56.8;56.11;56.55;10299316
CSCO;D;230830;000000;56.63;56.91;56.535;56.82;8471399
CSCO;D;230831;000000;57.1;57.5286;56.89;57.36;11311625
CSCO;D;230901;000000;57.39;58.185;57.39;57.815;9946140
CSCO;D;230905;000000;57.82;57.82;57.2421;57.25;9459363
CSCO;D;230906;000000;57.1;57.47;57.07;57.15;7402392
CSCO;D;230907;000000;56.97;57.09;56.66;56.78;8213752
CSCO;D;230908;000000;56.76;57.07;56.56;56.68;9145558
CSCO;D;230911;000000;56.72;56.965;56.44;56.84;9136990
CSCO;D;230912;000000;56.65;56.86;56.34;56.405;7928146
CSCO;D;230913;000000;56.32;56.529;56.08;56.275;7760254
CSCO;D;230914;000000;56.42;56.47;56.08;56.37;7950049
CSCO;D;230915;000000;56.31;56.39;55.54;56.02;16425816
CSCO;D;230918;000000;56.01;56.275;55.83;56.12;6856909
CSCO;D;230919;000000;56.18;56.21;55.46;55.85;6500886
CSCO;D;230920;000000;55.95;56.05;55.435;55.49;7575208
CSCO;D;230921;000000;53.41;54.1;52.85;53.32;26900233
CSCO;D;230922;000000;53.4;53.825;53.2;53.57;11181714
CSCO;D;230925;000000;53.46;53.68;53.16;53.49;9253979
CSCO;D;230926;000000;53.18;53.295;52.58;52.72;10216784
CSCO;D;230927;000000;52.89;53.37;52.53;53.2;9699875
CSCO;D;230928;000000;53.37;54.19;53.35;53.87;11683553
CSCO;D;230929;000000;54.16;54.2;53.5;53.755;7769613
CSCO;D;231002;000000;53.84;54.4;53.81;54.4;9357115
CSCO;D;231003;000000;53.86;53.89;53.35;53.66;10572248
CSCO;D;231004;000000;53.66;53.845;53.22;53.425;10864959
CSCO;D;231005;000000;53.4;53.47;52.58;53.07;9488061
CSCO;D;231006;000000;52.99;53.745;52.7371;53.44;9009905
CSCO;D;231009;000000;53.35;53.96;53.25;53.94;6690324
