<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AAPL;D;250102;000000;248.99;249.1;241.8201;243.82;35118377
AAPL;D;250103;000000;243.36;244.18;241.89;243.3;23885613
AAPL;D;250106;000000;244.31;247.33;243.2;245;22108217
AAPL;D;250107;000000;242.98;245.55;241.35;242.19;21474733
AAPL;D;250108;000000;242;243.7123;240.05;242.72;19627248
AAPL;D;250110;000000;240.01;240.16;233;236.93;33887576
AAPL;D;250113;000000;233.53;234.67;229.72;234.4;27315270
AAPL;D;250114;000000;234.75;236.12;232.472;233.28;19824105
AAPL;D;250115;000000;234.635;238.96;234.43;237.88;20462801
AAPL;D;250116;000000;237.35;238.01;228.03;228.24;44167480
AAPL;D;250117;000000;232.115;232.29;228.48;229.96;40950206
AAPL;D;250121;000000;224;224.42;219.38;222.66;57614538
AAPL;D;250122;000000;219.79;224.12;219.79;223.77;34924977
AAPL;D;250123;000000;224.74;227.03;222.3;223.65;34536633
AAPL;D;250124;000000;224.78;225.63;221.41;222.79;31971566
AAPL;D;250127;000000;224.02;232.15;223.98;229.94;54862877
AAPL;D;250128;000000;230.85;240.19;230.81;238.24;44540453
AAPL;D;250129;000000;234.12;239.855;234.01;239.35;26379706
AAPL;D;250130;000000;238.665;240.79;237.21;237.56;25312145
AAPL;D;250131;000000;247.19;247.19;233.44;235.84;55263683
AAPL;D;250203;000000;229.99;231.83;225.7;227.98;44190165
AAPL;D;250204;000000;227.25;233.13;226.65;232.79;25059650
AAPL;D;250205;000000;228.53;232.67;228.27;232.45;20465469
AAPL;D;250206;000000;231.285;233.8;230.425;233.22;16244182
AAPL;D;250207;000000;232.6;234;227.26;227.71;22206730
AAPL;D;250210;000000;229.57;230.585;227.2;227.64;16340043
AAPL;D;250211;000000;228.2;235.23;228.13;232.77;29172705
AAPL;D;250212;000000;231.2;236.96;230.68;236.89;24219704
AAPL;D;250213;000000;236.91;242.3399;235.57;241.52;28360461
AAPL;D;250214;000000;241.25;245.55;240.99;244.57;23879670
AAPL;D;250218;000000;244.15;245.18;241.84;244.46;21530812
AAPL;D;250219;000000;244.66;246.01;243.1604;244.89;16931332
AAPL;D;250220;000000;244.94;246.78;244.29;245.86;19082925
AAPL;D;250221;000000;245.95;248.69;245.22;245.59;28802388
AAPL;D;250224;000000;244.925;248.86;244.42;247.23;27792662
AAPL;D;250225;000000;248;250;244.91;247.05;27640541
AAPL;D;250226;000000;244.33;244.98;239.13;240.31;26102203
AAPL;D;250227;000000;239.41;242.46;237.06;237.39;20540132
AAPL;D;250228;000000;236.95;242.09;230.2;241.84;25403756
AAPL;D;250303;000000;241.79;244.0272;236.112;238.14;24796126
AAPL;D;250304;000000;237.705;240.07;234.68;236.07;30592132
AAPL;D;250305;000000;235.42;236.55;229.23;235.82;27052094
AAPL;D;250306;000000;234.435;237.86;233.33;235.32;26404267
AAPL;D;250307;000000;235.105;241.37;234.76;239.03;30115919
AAPL;D;250310;000000;235.54;236.16;224.22;227.541;43584629
AAPL;D;250311;000000;223.805;225.8399;217.45;220.73;45381954
AAPL;D;250312;000000;220.14;221.75;214.91;216.94;38948547
AAPL;D;250313;000000;215.95;216.8394;208.42;209.71;39263471
AAPL;D;250314;000000;211.25;213.95;209.58;213.38;35473657
