<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CSCO;D;250506;000000;58.625;59.51;58.58;59.22;7783538
CSCO;D;250507;000000;59.2;59.895;59.07;59.57;10784479
CSCO;D;250508;000000;59.955;60.28;59.425;59.71;10565214
CSCO;D;250509;000000;60.655;60.83;59.44;59.77;14046170
CSCO;D;250512;000000;61.61;61.85;61.12;61.67;17414986
CSCO;D;250513;000000;61.675;62.24;61.605;61.78;14826357
CSCO;D;250514;000000;61.63;61.87;60.845;61.29;24005293
CSCO;D;250515;000000;63.07;65.745;62.92;64.26;48297399
CSCO;D;250516;000000;63.91;64.03;62.975;63.602;22784048
CSCO;D;250519;000000;63.43;64.13;63.18;63.92;12105713
CSCO;D;250520;000000;63.735;63.85;63.065;63.42;11495987
CSCO;D;250521;000000;62.99;63.905;62.9714;63.2;11799958
CSCO;D;250522;000000;63.405;63.72;62.95;63.36;12396836
CSCO;D;250523;000000;62.705;63.22;62.53;63.11;11264132
CSCO;D;250527;000000;63.76;63.99;63.335;63.75;12546430
CSCO;D;250528;000000;63.89;63.985;63.25;63.34;9260847
CSCO;D;250529;000000;63.73;63.74;62.485;63.05;11663552
CSCO;D;250530;000000;62.92;63.175;62.3;63.04;17039682
CSCO;D;250602;000000;62.725;63.88;62.71;63.85;12087072
CSCO;D;250603;000000;63.795;64.456429;63.72;64.36;10469928
CSCO;D;250604;000000;64.66;64.89;64.345;64.39;11649756
CSCO;D;250605;000000;64.48;64.91;64.28;64.62;14352223
CSCO;D;250606;000000;65.09;66.16;65.09;66.06;16406624
CSCO;D;250609;000000;66.115;66.36;65.59;65.9;10810459
CSCO;D;250610;000000;66.005;66.08;64.805;65.15;13656594
CSCO;D;250611;000000;65.11;65.15;63.865;64.19;14637596
CSCO;D;250612;000000;64.315;65.205;64.11;65.139;11871935
CSCO;D;250613;000000;64.59;64.725;63.93;64.09;11980013
CSCO;D;250616;000000;65.19;65.615;64.85;65.51;13734579
CSCO;D;250617;000000;65.635;66.15;65.02;65.33;14876812
CSCO;D;250618;000000;65.685;66.34;65.38;65.84;17926200
CSCO;D;250620;000000;66.49;66.65;65.72;66.32;37243681
CSCO;D;250623;000000;66.345;67.485;66.21;67.38;20874548
CSCO;D;250624;000000;67.78;68.04;67.355;67.89;17603910
CSCO;D;250625;000000;67.85;68.525;67.78;68.19;16099743
CSCO;D;250626;000000;68.72;69.16;68.42;68.95;17437289
CSCO;D;250627;000000;68.87;69.215;68.34;68.65;18819640
CSCO;D;250630;000000;68.91;69.78;68.75;69.38;18392618
CSCO;D;250701;000000;69.38;69.545;68.635;69.1;16321512
CSCO;D;250702;000000;68.68;68.94;68.1797;68.59;12718054
CSCO;D;250703;000000;68.18;69.47;68.18;69.37;12167298
CSCO;D;250707;000000;69.08;69.3;68.605;68.93;10708869
CSCO;D;250708;000000;68.8;68.92;68.35;68.59;9323047
CSCO;D;250709;000000;68.54;69.32;68.31;69.27;12054708
CSCO;D;250710;000000;69.255;69.39;68.5613;68.76;10081220
CSCO;D;250711;000000;68.29;68.4999;67.685;67.95;11644312
CSCO;D;250714;000000;67.83;68.0259;67.2;67.82;10714664
CSCO;D;250715;000000;67.68;67.88;67.15;67.18;10168733
CSCO;D;250716;000000;67.15;67.56;66.98;67.37;10730050
CSCO;D;250717;000000;67.55;68.47;67.51;68.3;15350605
CSCO;D;250718;000000;68.775;68.84;67.9601;68.05;10978349
CSCO;D;250721;000000;67.902;68.619;67.79;68.34;10409255
CSCO;D;250722;000000;68.34;68.6;68.075;68.16;10916654
CSCO;D;250723;000000;68.35;68.8293;68.06;68.62;10742118
CSCO;D;250724;000000;68.355;68.59;67.92;68.29;9728652
CSCO;D;250725;000000;68.38;68.815;68.07;68.69;9377799
CSCO;D;250728;000000;67.75;67.96;67.37;67.92;14341701
CSCO;D;250729;000000;68.23;68.725;67.825;67.96;12610750
CSCO;D;250730;000000;67.84;68.575;67.35;68.275;12095797
CSCO;D;250731;000000;68.308;69.145;67.88;68.08;14024690
CSCO;D;250801;000000;67.51;67.61;66.52;67.11;16615713
CSCO;D;250804;000000;67.765;68.51;67.61;68.49;13240873
CSCO;D;250805;000000;68.69;68.87;67.445;67.52;11178940
CSCO;D;250806;000000;67.96;69.345;67.765;69.21;18857332
CSCO;D;250807;000000;69.8;70.14;69.21;69.9;17719527
CSCO;D;250808;000000;70.243;72.02;70.215;71.79;26041456
CSCO;D;250811;000000;72.3;72.55;70.34;70.695;22970491
CSCO;D;250812;000000;70.785;71.5;70.56;71.389;16897445
CSCO;D;250813;000000;71.86;72.03;70.25;70.27;26042504
CSCO;D;250814;000000;68;70.61;67.48;69.3;32029343
CSCO;D;250815;000000;68.45;68.65;65.86;66.2;32923811
CSCO;D;250818;000000;66.08;67.11;65.75;66.95;16469341
CSCO;D;250819;000000;66.76;67.52;66.4802;66.76;14874805
CSCO;D;250820;000000;66.82;67.185;66.535;67.11;11478464
CSCO;D;250821;000000;67.1;67.22;66.47;67.02;9084835
CSCO;D;250822;000000;67.33;68.04;67.005;67.32;11872972
CSCO;D;250825;000000;67.28;67.495;67.11;67.14;8117916
CSCO;D;250826;000000;67.165;68.75;67.11;68.39;18467677
CSCO;D;250827;000000;68.32;68.745;68.15;68.44;8560210
CSCO;D;250828;000000;68.36;69.5758;68.35;69.43;11285659
CSCO;D;250829;000000;69.11;69.46;68.835;69.09;10723917
CSCO;D;250902;000000;68.105;68.32;67.38;67.8;13530575
CSCO;D;250903;000000;68.045;68.13;67.33;67.67;11728167
CSCO;D;250904;000000;68.1;68.41;67.41;67.99;11284011
CSCO;D;250905;000000;67.715;68.1;66.48;66.9;16146994
CSCO;D;250908;000000;66.72;67.005;66.35;66.88;10640530
CSCO;D;250909;000000;66.74;67.435;66.64;67.34;8766736
CSCO;D;250910;000000;67.59;68.32;67.12;68.131;11880634
CSCO;D;250911;000000;68.31;68.57;67.505;67.69;13385134
CSCO;D;250912;000000;66.88;67.34;66.13;66.511;14266486
CSCO;D;250915;000000;66.505;67.2;66.345;67.02;12426371
CSCO;D;250916;000000;67.02;67.38;66.55;66.93;12686287
CSCO;D;250917;000000;67;67.88;66.38;67.72;14059041
CSCO;D;250918;000000;67.9;68.76;67.48;68.68;14579928
CSCO;D;250919;000000;68.92;68.92;67.1802;68.21;34569805
CSCO;D;250922;000000;67.86;68;67.3;67.75;15917151
CSCO;D;250923;000000;67.58;68.22;67.07;67.54;14450287
CSCO;D;250924;000000;67.7;67.865;66.89;67.32;13095752
CSCO;D;250925;000000;67.32;68.235;67.1101;67.85;13774247
CSCO;D;250926;000000;67.87;67.91;66.85;67.219;10178333
CSCO;D;250929;000000;67.715;67.95;67.44;67.72;11247617
