<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MSFT;D;250102;000000;425.25;426.07;414.85;418.69;8335058
MSFT;D;250103;000000;421.3;424.03;419.54;423.37;7282134
MSFT;D;250106;000000;428.06;434.32;425.4774;428.07;9122707
MSFT;D;250107;000000;429.08;430.65;420.8;422.49;7610977
MSFT;D;250108;000000;424.4;426.97;421.54;424.7;6399557
MSFT;D;250110;000000;424.63;424.71;415.02;418.91;9312988
MSFT;D;250113;000000;415.235;418.5;412.29;417.23;7149519
MSFT;D;250114;000000;417.81;419.74;410.72;415.68;8066545
MSFT;D;250115;000000;419.13;428.15;418.265;426.26;8270342
MSFT;D;250116;000000;428.695;429.49;424.39;424.54;6319808
MSFT;D;250117;000000;434.085;434.48;428.17;428.91;12855743
MSFT;D;250121;000000;430.2;430.8999;425.595;428.62;8548802
MSFT;D;250122;000000;437.56;447.27;436;446.16;12872110
MSFT;D;250123;000000;442;446.75;441.5048;446.7;6376165
MSFT;D;250124;000000;445.16;446.65;441.4;443.98;6651064
MSFT;D;250127;000000;424.01;435.2;423.5;434.57;15634092
MSFT;D;250128;000000;434.6;448.38;431.38;447.02;11653778
MSFT;D;250129;000000;446.69;446.88;440.4;441.77;9037814
MSFT;D;250130;000000;418.77;422.86;413.16;414.87;30862699
MSFT;D;250131;000000;418.98;420.69;414.91;415.02;17199469
MSFT;D;250203;000000;411.6;415.41;408.66;411.01;12863211
MSFT;D;250204;000000;412.685;413.9199;409.74;412.31;10496068
MSFT;D;250205;000000;412.35;413.827;410.4;413.28;7789629
MSFT;D;250206;000000;414;418.2;414;415.91;7748147
MSFT;D;250207;000000;416.48;418.65;408.1;409.76;10809016
MSFT;D;250210;000000;413.71;415.4624;410.92;412.21;6947570
MSFT;D;250211;000000;409.64;412.49;409.3;411.55;5362926
MSFT;D;250212;000000;407.21;410.75;404.3673;408.95;7201764
MSFT;D;250213;000000;407;411;406.36;410.52;7610691
MSFT;D;250214;000000;407.79;408.91;405.88;408.33;10574909
MSFT;D;250218;000000;408;410.597;406.5;409.64;8027699
MSFT;D;250219;000000;407.88;415.49;407.65;414.82;11865013
MSFT;D;250220;000000;415.29;419.31;412.54;416.13;12089613
MSFT;D;250221;000000;417.335;418.048;407.89;408.14;10863194
MSFT;D;250224;000000;408.51;409.37;399.32;404.09;12471129
MSFT;D;250225;000000;401.1;401.915;396.7;397.91;13077920
MSFT;D;250226;000000;398.01;403.6;394.245;399.6409;7587987
MSFT;D;250227;000000;401.265;405.74;392.17;392.58;9399560
MSFT;D;250228;000000;392.655;397.63;386.57;397.1425;11355673
MSFT;D;250303;000000;398.82;398.82;386.155;388.53;10344977
MSFT;D;250304;000000;383.4;392.58;381;388.72;14019020
MSFT;D;250305;000000;389.34;401.67;388.81;401.1;11522206
MSFT;D;250306;000000;394.28;402.15;393.29;397.03;10781927
MSFT;D;250307;000000;392.32;394.8;385.54;393.32;10791486
MSFT;D;250310;000000;385.84;386.4;377.22;380.24;15803416
MSFT;D;250311;000000;379;386;376.91;380.22;12878467
MSFT;D;250312;000000;382.95;385.2165;378.9507;383.28;12115400
MSFT;D;250313;000000;383.155;385.32;377.45;378.9;9731623
MSFT;D;250314;000000;379.775;390.23;379.51;388.54;9124979
MSFT;D;250317;000000;386.7;392.705;385.57;388.78;8443794
MSFT;D;250318;000000;387.07;387.37;381.1;383.58;7283338
MSFT;D;250319;000000;385.525;389.68;384;387.87;6874181
MSFT;D;250320;000000;385.735;391.785;383.28;386.81;7395449
MSFT;D;250321;000000;383.215;391.74;382.8;391.31;14470052
MSFT;D;250324;000000;395.4;395.4;389.81;392.91;9408152
MSFT;D;250325;000000;393.915;396.36;392.64;395.1;6795907
MSFT;D;250326;000000;395;395.31;388.57;389.82;7089721
MSFT;D;250327;000000;390.13;392.24;387.395;390.53;5725759
MSFT;D;250328;000000;388.08;389.13;376.93;378.82;9779568
MSFT;D;250331;000000;372.535;377.07;367.24;374.87;14218986
MSFT;D;250401;000000;374.65;382.85;373.23;382.08;9271808
MSFT;D;250402;000000;377.965;385.08;376.62;382.11;7066234
MSFT;D;250403;000000;374.785;377.48;369.35;373.12;14205532
MSFT;D;250404;000000;364.125;374.59;359.48;359.72;23360808
MSFT;D;250407;000000;350.88;370.9999;344.79;357.75;26146731
MSFT;D;250408;000000;368.255;373.65;350.25;355.57;17445746
MSFT;D;250409;000000;353.535;393.225;353.1;390.43;23879882
MSFT;D;250410;000000;382.06;383.9;367.8;381.14;18297677
MSFT;D;250411;000000;380.635;390.05;378.89;387.99;10423649
MSFT;D;250414;000000;393.22;394.65;384.21;388.05;8888090
MSFT;D;250415;000000;388.505;391.89;384.1599;385.604;8712726
MSFT;D;250416;000000;380.67;381.61;368;371.61;10578834
MSFT;D;250417;000000;373.745;374.3215;366.89;367.6;10046771
MSFT;D;250421;000000;362.815;364.48;355.67;359.14;9344032
MSFT;D;250422;000000;363.375;367.77;359.8602;366.74;9017231
MSFT;D;250423;000000;376.06;380.39;373.02;374.05;10002697
MSFT;D;250424;000000;375.695;388.45;375.19;387.27;8506151
MSFT;D;250425;000000;387;392.16;384.6;391.62;7554870
MSFT;D;250428;000000;391.955;392.74;386.638;391.16;10317719
MSFT;D;250429;000000;391.3;395.1;390.38;394.04;8994852
MSFT;D;250430;000000;390.3;396.66;384.44;395.26;19249752
MSFT;D;250501;000000;431.11;436.99;424.9;425.4;37956990
MSFT;D;250502;000000;431.74;439.44;429.985;435.28;19462746
MSFT;D;250505;000000;432.87;439.5;432.11;436.083;11137463
MSFT;D;250506;000000;432.2;437.73;431.17;433.31;9312279
MSFT;D;250507;000000;433.84;438.12;431.1103;433.35;15339721
MSFT;D;250508;000000;437.93;443.67;435.66;438.17;13833155
MSFT;D;250509;000000;440;440.74;435.88;438.73;7669229
MSFT;D;250512;000000;445.94;449.37;439.78;449.17;15150346
MSFT;D;250513;000000;447.78;450.6733;445.36;449.14;13532176
MSFT;D;250514;000000;448.14;453.9;448.14;452.94;11831495
MSFT;D;250515;000000;450.765;456.19;450.4301;453.13;12711890
MSFT;D;250516;000000;452.05;454.36;448.73;454.27;15175382
MSFT;D;250519;000000;450.875;459.585;450.8;458.87;9582622
MSFT;D;250520;000000;455.59;458.34;454.3201;458.17;8773812
MSFT;D;250521;000000;454.57;457.78;451.814;452.57;11232716
MSFT;D;250522;000000;454.95;460.25;453.9;454.86;10653175
MSFT;D;250523;000000;449.98;453.69;448.91;450.18;9500606
MSFT;D;250527;000000;456.48;460.95;456.115;460.69;13337224
MSFT;D;250528;000000;461.22;462.52;456.93;457.36;9442020
MSFT;D;250529;000000;461.55;461.72;455.3105;458.68;7358280
MSFT;D;250530;000000;459.715;461.68;455.54;460.36;23348681
MSFT;D;250602;000000;457.14;462.11;456.89;461.97;8197374
MSFT;D;250603;000000;461.47;464.14;460.8622;462.97;8709604
MSFT;D;250604;000000;464;465.69;463.0201;463.87;8612024
MSFT;D;250605;000000;464.955;469.65;464.03;467.68;12077506
MSFT;D;250606;000000;470.5;473.335;468.78;470.38;8679568
MSFT;D;250609;000000;469.7;473.43;468.62;472.75;9992752
