<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AAPL;W;230102;000000;130.28;130.9;124.17;129.5;274697377
AAPL;W;230109;000000;130.465;134.92;128.12;134.7;251661230
AAPL;W;230116;000000;134.83;138.61;133.77;137.84;195426524
AAPL;W;230123;000000;138.12;147.23;137.9;145.97;247405840
AAPL;W;230130;000000;144.955;157.38;141.32;154.5;320158727
AAPL;W;230206;000000;152.575;155.23;149.22;151.02;230197312
AAPL;W;230213;000000;150.952;156.33;150.85;152.54;222894668
AAPL;W;230220;000000;150.2;151.3;145.7202;146.71;150485484
AAPL;W;230227;000000;147.71;151.11;143.9;151.1;183949136
AAPL;W;230306;000000;153.785;156.3;147.6096;148.48;235300342
AAPL;W;230313;000000;147.805;156.74;147.7;155.005;284956695
AAPL;W;230320;000000;155.07;162.14;154.15;160.25;249261012
AAPL;W;230327;000000;159.94;165;155.98;164.89;185928691
AAPL;W;230403;000000;164.27;166.84;161.8;164.65;139498094
AAPL;W;230410;000000;161.42;166.32;159.78;165.21;188979384
AAPL;W;230417;000000;165.09;168.16;164.03;165.02;174506741
AAPL;W;230424;000000;165;169.85;162.8;169.69;173592469
AAPL;W;230501;000000;169.28;174.3;164.31;173.62;241570001
AAPL;W;230508;000000;172.48;174.59;171;172.56;175080003
AAPL;W;230515;000000;173.16;176.39;170.4201;175.19;175263865
AAPL;W;230522;000000;173.98;175.77;170.52;175.38;164319572
AAPL;W;230529;000000;176.96;181.78;176.57;180.95;177316314
AAPL;W;230605;000000;182.63;184.951;177.32;181.05;253072464
AAPL;W;230612;000000;181.27;186.99;180.97;185.02;194504251
AAPL;W;230619;000000;184.41;187.56;182.5901;186.675;130984797
AAPL;W;230626;000000;186.83;194.48;185.235;193.82;181859134
AAPL;W;230703;000000;193.78;193.88;189.2;190.63;115828362
AAPL;W;230710;000000;189.26;191.7;186.6;190.72;167018067
AAPL;W;230717;000000;191.9;198.23;191.23;191.93;200470758
AAPL;W;230724;000000;193.41;197.2;192.25;195.8599;141357451
AAPL;W;230731;000000;196.06;196.73;181.95;181.99;193123745
AAPL;W;230807;000000;182.13;183.13;176.55;177.89;232649422
AAPL;W;230814;000000;177.97;179.69;171.96;174.49;167088921
AAPL;W;230821;000000;175.07;181.55;173.735;178.66;157971153
AAPL;W;230828;000000;180.09;189.92;178.545;189.44;173852689
AAPL;W;230904;000000;188.28;189.98;173.54;178.19;221650909
AAPL;W;230911;000000;180.07;180.3;173.58;174.985;266443652
AAPL;W;230918;000000;176.48;179.695;173.865;174.74;210707570
AAPL;W;230925;000000;174.2;176.97;167.62;171.22;204284621
AAPL;W;231002;000000;171.22;177.99;170.82;177.49;183863800
AAPL;W;231009;000000;176.81;182.34;175.8;178.87;170000472
AAPL;W;231016;000000;176.75;179.075;172.64;172.86;199617812
AAPL;W;231023;000000;170.91;174.01;165.67;168.285;197510784
AAPL;W;231030;000000;169.02;177.77;167.9;176.63;204812583
AAPL;W;231106;000000;176.38;186.565;176.21;186.34;202792978
AAPL;W;231113;000000;185.82;190.96;184.21;189.71;173585953
AAPL;W;231120;000000;189.89;192.93;189.25;189.97;104019304
AAPL;W;231127;000000;189.92;192.09;188.19;191.24;129314341
AAPL;W;231204;000000;189.98;195.99;187.4511;195.701;159104578
AAPL;W;231211;000000;193.11;199.62;191.42;197.12;201157214
AAPL;W;231218;000000;196.09;197.68;192.97;193.62;139482066
AAPL;W;231225;000000;193.61;194.66;191.09;192.5;95926788
AAPL;W;240101;000000;187.15;188.44;180.17;181.18;173633578
AAPL;W;240108;000000;182.085;187.05;181.5;185.855;143368182
AAPL;W;240115;000000;182.16;191.95;180.3;191.57;160436679
AAPL;W;240122;000000;192.3;196.38;191.94;192.39;165566361
AAPL;W;240129;000000;192.01;192.2;179.25;185.9;195592356
AAPL;W;240205;000000;188.15;191.05;185.84;188.81;161995963
AAPL;W;240212;000000;188.415;188.67;181.35;182.29;163806415
AAPL;W;240219;000000;181.79;185.04;180;182.52;113779493
AAPL;W;240226;000000;182.24;183.9225;177.38;179.66;197980809
AAPL;W;240304;000000;176.15;176.9;168.49;170.785;262982131
AAPL;W;240311;000000;172.94;174.38;170.285;172.595;195659039
AAPL;W;240318;000000;175.57;178.67;170.06;172.25;232068946
AAPL;W;240325;000000;170.565;173.6;169.45;171.47;145164304
AAPL;W;240401;000000;171.19;171.92;168.2302;169.6;146908469
AAPL;W;240408;000000;169.03;178.36;167.11;176.56;220457121
AAPL;W;240415;000000;175.36;176.63;164.075;164.96;194126584
AAPL;W;240422;000000;165.515;171.34;164.77;169.29;148750765
AAPL;W;240429;000000;173.37;187;169.11;183.39;255963928
AAPL;W;240506;000000;182.354;185.09;180.42;183.01;197306177
AAPL;W;240513;000000;185.435;191.095;184.62;189.93;175589667
AAPL;W;240520;000000;189.325;192.8231;186.625;190;125205956
AAPL;W;240527;000000;191.51;193;189.1;192.31;126029707
AAPL;W;240603;000000;192.9;196.94;192.52;196.92;156913974
AAPL;W;240610;000000;196.9;220.2;192.15;212.52;460175013
AAPL;W;240617;000000;213.37;218.95;207.13;207.13;236828163
AAPL;W;240624;000000;207.72;216.07;206.59;210.49;192849690
AAPL;W;240701;000000;212.09;226.45;211.92;226.3;145159351
AAPL;W;240708;000000;227.09;233.07;223.25;230.56;187557320
AAPL;W;240715;000000;236.48;237.23;222.27;224.44;159997581
AAPL;W;240722;000000;227.01;227.78;214.62;218.1;143685485
AAPL;W;240729;000000;216.96;225.6;215.75;219.8;165771388
AAPL;W;240805;000000;199.09;216.78;196.9763;216.3;191624626
AAPL;W;240812;000000;216.07;226.8271;215.6;226.1;111188215
AAPL;W;240819;000000;225.72;228.34;223.04;226.773604;97075187
AAPL;W;240826;000000;226.76;232.92;223.8905;228.97;112000216
AAPL;W;240902;000000;228.55;229;217.48;220.92;99607605
AAPL;W;240909;000000;220.82;224.04;216.71;222.46;146281829
AAPL;W;240916;000000;216.54;233.09;213.92;228.53;228176820
AAPL;W;240923;000000;227.31;229.52;224.02;227.82;102490690
AAPL;W;240930;000000;230;233;223.02;226.8;124452568
AAPL;W;241007;000000;224.5;229.75;221.33;227.51;90757370
AAPL;W;241014;000000;228.7;237.49;228.6;234.98;123758780
AAPL;W;241021;000000;234.45;236.85;227.76;231.41;102552575
AAPL;W;241028;000000;233.26;234.73;220.27;222.85;122336014
AAPL;W;241104;000000;220.99;228.66;219.71;227.16;106452089
AAPL;W;241111;000000;225;228.87;221.5;224.92;114409066
AAPL;W;241118;000000;225.25;230.7199;225.17;229.74;96645980
AAPL;W;241125;000000;231.46;237.81;229.74;237.33;95355988
AAPL;W;241202;000000;237.27;244.63;237.16;242.86;104558115
AAPL;W;241209;000000;241.8;250.8;241.75;248.11;100480123
AAPL;W;241216;000000;247.99;255;245.69;254.6;137109283
AAPL;W;241223;000000;254.77;260.1;253.06;255.73;78827000
AAPL;W;241230;000000;252.23;253.5;241.8201;243.3;97198461
