"Time","Qualcomm"
"2022-12-01",96
"2023-01-01",100
"2023-02-01",94
"2023-03-01",58
"2023-04-01",52
"2023-05-01",48
"2023-06-01",41
"2023-07-01",54
"2023-08-01",47
"2023-09-01",39
"2023-10-01",10
"2023-11-01",2
"2023-12-01",4
"2024-01-01",5
"2024-02-01",6
"2024-03-01",21
"2024-04-01",20
"2024-05-01",27
"2024-06-01",10
"2024-07-01",17
"2024-08-01",8
"2024-09-01",14
"2024-10-01",9
"2024-11-01",32
"2024-12-01",37
"2025-01-01",32
